epoch,accuracy,auc,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_auc,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
0,0.892357349395752,0.9597826600074768,64.0,236.0,0.1250704973936081,0.8509159684181213,0.954642117023468,1140.0,1347.0,0.9172413945198059,0.9590884447097778,77.0,151.0,0.5081272721290588,0.8968579173088074,0.9446043372154236,1214.0,1313.0
0,0.9417127966880798,0.9757526516914368,477.0,808.0,0.17817622423171997,0.9288356304168701,0.9567268490791321,10215.0,10546.0,0.9052631855010986,0.9579514861106873,46.0,215.0,0.3754323720932007,0.8627951741218567,0.9670958518981934,1142.0,1352.0
1,0.9472466707229614,0.9787379503250122,411.0,752.0,0.16206368803977966,0.9338144659996033,0.9627075791358948,10273.0,10610.0,0.8588021993637085,0.9774279594421387,14.0,375.0,0.36420339345932007,0.7859588861465454,0.9899352788925171,989.0,1377.0
2,0.9507393836975098,0.9825162291526794,392.0,694.0,0.14779707789421082,0.9387304782867432,0.9644444584846497,10327.0,10633.0,0.9473684430122375,0.9830779433250427,36.0,109.0,0.19325347244739532,0.9257998466491699,0.9742120504379272,1250.0,1360.0
3,0.9517372846603394,0.9811931252479553,375.0,689.0,0.15122246742248535,0.9392309188842773,0.9659833312034607,10333.0,10649.0,0.8965517282485962,0.9813441634178162,249.0,36.0,0.29526665806770325,0.9694915413856506,0.8212491273880005,1326.0,1144.0
4,0.9569536447525024,0.9863736629486084,349.0,600.0,0.13094787299633026,0.946775496006012,0.9683360457420349,10424.0,10673.0,0.9411978125572205,0.9804617762565613,21.0,141.0,0.20329800248146057,0.9067460298538208,0.9849137663841248,1222.0,1371.0
0,0.9578645825386047,0.9873026609420776,355.0,690.0,0.11778871715068817,0.9458866119384766,0.9714078903198242,11695.0,12061.0,0.9499092698097229,0.977562427520752,37.0,101.0,0.21375267207622528,0.9307270050048828,0.9734576940536499,1260.0,1357.0
1,0.9601742029190063,0.9898578524589539,351.0,527.0,0.11468120664358139,0.952950656414032,0.968163251876831,10494.0,10674.0,0.9393829107284546,0.9823846817016602,18.0,149.0,0.1953170895576477,0.9022950530052185,0.9870874881744385,1212.0,1376.0
2,0.961852490901947,0.9905430674552917,318.0,523.0,0.11051774024963379,0.9534158706665039,0.9711486101150513,10501.0,10704.0,0.9266787767410278,0.9616953730583191,39.0,163.0,0.4434203505516052,0.8921957612037659,0.9719020128250122,1204.0,1349.0
3,0.9694275856018066,0.993990957736969,216.0,458.0,0.08905955404043198,0.9593394994735718,0.9804028272628784,10566.0,10806.0,0.9437386393547058,0.976829469203949,73.0,82.0,0.32201921939849854,0.9412607550621033,0.9473684430122375,1286.0,1314.0
